			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Армагеддон	Армагеддон	4	 	 	x	 	24	20	20	20	50	30	30	60	120	0	0	0	5	5	10	0	0	0	100	100	100	100	"{Армагеддон}

Вызывает огненный дождь над всем полем боя и причиняет урон всем отрядам.

Урон: ""Сила магии"" х 50 + 30.
"	"{Армагеддон – ""Базовый"" уровень}

Вызывает огненный дождь над всем полем боя и причиняет урон всем отрядам.

Урон: ""Сила магии"" х 50 + 30.

Заклинание стоит на 4 очка магии меньше (20 вместо 24), чем обычный ""Армагеддон"".
"	"{Армагеддон – ""Продвинутый"" уровень}

Вызывает огненный дождь над всем полем боя и причиняет урон всем отрядам.

Урон: ""Сила магии"" х 50 + 60.

Причиняет на 30 единиц больше урона, чем ""Армагеддон"" базового уровня.
"	"{Армагеддон – ""Экспертный"" уровень}

Вызывает огненный дождь над всем полем боя и причиняет урон всем отрядам.

Урон: ""Сила магии"" х 50 + 120.

Причиняет на 90 единиц больше урона, чем ""Армагеддон"" базового уровня.
"	 COMBAT_SPELL
Щит	Щит	1	x	 	 	 	5	4	4	4	0	85	85	70	70	10	3	5	3	10	5	5	5	5	10	10	20	20	"{Щит}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый им в ближнем бою, на 15%.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Щит – ""Базовый"" уровень}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый им в ближнем бою, на 15%.

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 1 очко магии меньше (4 вместо 5), чем обычный ""Щит"".
"	"{Щит – ""Продвинутый"" уровень}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый им в ближнем бою, на 30%.

Время действия заклинания напрямую зависит от силы магии героя.

Действует в два раза сильнее, чем ""Щит"" базового уровня.
"	"{Щит – ""Экспертный"" уровень}

Защищает все войско героя, уменьшая урон, получаемый в ближнем бою, на 30%.

Время действия заклинания напрямую зависит от силы магии героя.

Действует в два раза сильнее, чем ""Щит"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Воздушный щит	Воздушный щит	3	 	 	 	x	12	9	9	9	0	75	75	50	50	4	8	8	2	4	4	8	4	4	20	20	50	50	"{Воздушный щит}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый им от атак на расстоянии, на 25%.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Воздушный щит – ""Базовый"" уровень}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый им от атак на расстоянии, на 25%.

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 3 очка магии меньше (9 вместо 12), чем обычный ""Воздушный щит"".
"	"{Воздушный щит – ""Продвинутый"" уровень}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый им от атак на расстоянии, на 50%.

Время действия заклинания напрямую зависит от силы магии героя.

Действует в два раза сильнее, чем ""Воздушный щит"" базового уровня.
"	"{Воздушный щит – ""Экспертный"" уровень}

Защищает все войско героя, уменьшая урон, получаемый от атак на расстоянии, на 50%.

Время действия заклинания напрямую зависит от силы магии героя.

Действует в два раза сильнее, чем ""Воздушный щит"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Огненный щит	Огненный щит	4	 	 	x	 	16	12	12	12	0	20	20	25	30	5	5	5	5	5	5	0	0	5	10	10	12	15	"{Огненный щит}

Наложенный на дружественный отряд, он не дает никакой дополнительной защиты – но любой враг, атакующий в ближнем бою сквозь щит огня, получит ответное повреждение, равное 20% от нанесенного им урона (% урона берется после расчета всех бонусов к атаке, но до расчета всех штрафов и модификаторов защиты цели).

Нанесенный вражескому отряду урон не может быть больше, чем его суммарное здоровье.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Огненный щит – ""Базовый"" уровень}

Наложенный на дружественный отряд, он не дает никакой дополнительной защиты – но любой враг, атакующий в ближнем бою сквозь щит огня, получит ответное повреждение, равное 20% от нанесенного им урона (% урона берется после расчета всех бонусов к атаке, но до расчета всех штрафов и модификаторов защиты цели).

Нанесенный вражескому отряду урон не может быть больше, чем его суммарное здоровье.

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 4 очка магии меньше (12 вместо 16), чем обычный ""Огненный щит"".
"	"{Огненный щит – ""Продвинутый"" уровень}

Наложенный на дружественный отряд, он не дает никакой дополнительной защиты – но любой враг, атакующий в ближнем бою сквозь щит огня, получит ответное повреждение, равное 25% от нанесенного им урона (% урона берется после расчета всех бонусов к атаке, но до расчета всех штрафов и модификаторов защиты цели).

Нанесенный вражескому отряду урон не может быть больше, чем его суммарное здоровье.

Время действия заклинания напрямую зависит от силы магии героя.

Причиняет атакующему на 5% больше урона, чем ""Огненный щит"" базового уровня.
"	"{Огненный щит – ""Экспертный"" уровень}

Наложенный на дружественный отряд, он не дает никакой дополнительной защиты – но любой враг, атакующий в ближнем бою сквозь щит огня, получит ответное повреждение, равное 30% от нанесенного им урона (% урона берется после расчета всех бонусов к атаке, но до расчета всех штрафов и модификаторов защиты цели).

Нанесенный вражескому отряду урон не может быть больше, чем его суммарное здоровье.

Время действия заклинания напрямую зависит от силы магии героя.

Причиняет атакующему на 10% больше урона, чем ""Огненный щит"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET
Защита от Воздуха	Защита от Воздуха	2		 	 	x	7	5	5	5	0	70	70	50	50	2	2	2	4	2	2	2	2	2	2	2	4	4	"{Защита от Воздуха}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый им от заклинаний магии Воздуха, на 30%.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Защита от Воздуха – ""Базовый"" уровень}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый им от заклинаний магии Воздуха, на 30%.

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 2 очка магии меньше (5 вместо 7), чем обычная ""Защита от Воздуха"".
"	"{Защита от Воздуха – ""Продвинутый"" уровень}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый им от заклинаний магии Воздуха, на 50%.

Время действия заклинания напрямую зависит от силы магии героя.

Защищает почти в два раза сильнее, чем ""Защита от Воздуха"" базового уровня.
"	"{Защита от Воздуха – ""Экспертный"" уровень}

Защищает все войско героя, уменьшая урон, получаемый от заклинаний магии Воздуха, на 50%.

Время действия заклинания напрямую зависит от силы магии героя.

Защищает почти в два раза сильнее, чем ""Защита от Воздуха"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Защита от Огня	Защита от Огня	1	 		x	 	5	4	4	4	0	70	70	50	50	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Защита от Огня}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый им от заклинаний магии Огня, на 30%.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Защита от Огня – ""Базовый"" уровень}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый им от заклинаний магии Огня, на 30%.

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 1 очко магии меньше (4 вместо 5), чем обычная ""Защита от Огня"".
"	"{Защита от Огня – ""Продвинутый"" уровень}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый им от заклинаний магии Огня, на 50%.

Время действия заклинания напрямую зависит от силы магии героя.

Защищает почти в два раза сильнее, чем ""Защита от Огня"" базового уровня.
"	"{Защита от Огня – ""Экспертный"" уровень}

Защищает все войско героя, уменьшая урон, получаемый от заклинаний магии Огня, на 50%.

Время действия заклинания напрямую зависит от силы магии героя.

Защищает почти в два раза сильнее, чем ""Защита от Огня"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Защита от Воды	Защита от Воды	1	 	x		 	5	4	4	4	0	70	70	50	50	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Защита от Воды}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый им от заклинаний магии Воды, на 30%.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Защита от Воды – ""Базовый"" уровень}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый им от заклинаний магии Воды, на 30%.

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 1 очко магии меньше (4 вместо 5), чем обычная ""Защита от Воды"".
"	"{Защита от Воды – ""Продвинутый"" уровень}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый им от заклинаний магии Воды, на 50%.

Время действия заклинания напрямую зависит от силы магии героя.

Защищает почти в два раза сильнее, чем ""Защита от Воды"" базового уровня.
"	"{Защита от Воды – ""Экспертный"" уровень}

Защищает все войско героя, уменьшая урон, получаемый от заклинаний магии Воды, на 50%.

Время действия заклинания напрямую зависит от силы магии героя.

Защищает почти в два раза сильнее, чем ""Защита от Воды"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Защита от Земли	Защита от Земли	3	x	 	 		12	9	9	9	0	70	70	50	50	4	4	4	2	4	4	4	0	4	2	2	4	4	"{Защита от Земли}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый им от заклинаний магии Земли, на 30%.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Защита от Земли – ""Базовый"" уровень}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый им от заклинаний магии Земли, на 30%.

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 3 очка магии меньше (9 вместо 12), чем обычная ""Защита от Земли"".
"	"{Защита от Земли – ""Продвинутый"" уровень}

Защищает выбранный дружественный отряд, уменьшая урон, получаемый им от заклинаний магии Земли, на 50%.

Время действия заклинания напрямую зависит от силы магии героя.

Защищает почти в два раза сильнее, чем ""Защита от Земли"" базового уровня.
"	"{Защита от Земли – ""Экспертный"" уровень}

Защищает все войско героя, уменьшая урон, получаемый от заклинаний магии Земли, на 50%.

Время действия заклинания напрямую зависит от силы магии героя.

Защищает почти в два раза сильнее, чем ""Защита от Земли"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Антимагия	Антимагия	3	x	 	 	 	15	12	12	12	0	4	4	5	6	12	8	8	4	8	8	12	10	12	10	10	15	20	"{Антимагия}

Защищает выбранный дружественный отряд от всех заклинаний 1-3 уровня, кроме ""Снятия заклинаний"". Кроме того, снимает ранее наложенные на отряд негативные заклинания 1-3 уровня, кроме ""Разрушающего луча"". Не действует на копий, созданных заклинанием ""Клон"".

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Антимагия – ""Базовый"" уровень}

Защищает выбранный дружественный отряд от всех заклинаний 1-3 уровня, кроме ""Снятия заклинаний"". Кроме того, снимает ранее наложенные на отряд негативные заклинания 1-3 уровня, кроме ""Разрушающего луча"". Не действует на копий, созданных заклинанием ""Клон"".

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 3 очка магии меньше (12 вместо 15), чем обычная ""Антимагия"".
"	"{Антимагия – ""Продвинутый"" уровень}

Защищает выбранный дружественный отряд от всех заклинаний 1-4 уровня, кроме ""Снятия заклинаний"". Кроме того, снимает ранее наложенные на отряд негативные заклинания 1-4 уровня, кроме ""Разрушающего луча"". Не действует на копий, созданных заклинанием ""Клон"".

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Антимагия – ""Экспертный"" уровень}

Защищает выбранный дружественный отряд от всех заклинаний, кроме ""Снятия заклинаний"". Кроме того, снимает ранее наложенные на отряд негативные заклинания, кроме ""Разрушающего луча"". Не действует на копий, созданных заклинанием ""Клон"".

Время действия заклинания напрямую зависит от силы магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET
Снятие заклинаний	Снятие заклинаний	1	 	x	 	 	5	4	4	4	0	0	0	0	0	10	10	10	10	10	10	10	10	10	3	3	3	3	"{Снятие заклинаний}

Снимает все заклинания и эффекты с выбранного дружественного отряда (включая ""Антимагию"", но кроме ""Разрушающего луча"" и ""Яда""). Игнорирует сопротивление магии и врожденные иммунитеты целей.
"	"{Снятие заклинаний – ""Базовый"" уровень}

Снимает все заклинания и эффекты с выбранного дружественного отряда (включая ""Антимагию"", но кроме ""Разрушающего луча"" и ""Яда""). Игнорирует сопротивление магии и врожденные иммунитеты целей.

Заклинание стоит на 1 очко магии меньше (4 вместо 5), чем обычное ""Снятие заклинаний"".
"	"{Снятие заклинаний – ""Продвинутый"" уровень}

Снимает все заклинания и эффекты с выбранного дружественного или вражеского отряда (включая ""Антимагию"", но кроме ""Разрушающего луча"" и ""Яда""). Игнорирует сопротивление магии и врожденные иммунитеты целей.
"	"{Снятие заклинаний – ""Экспертный"" уровень}

Снимает все заклинания и эффекты со всех отрядов и боевых машин на поле боя (включая ""Антимагию"", но кроме ""Разрушающего луча"" и ""Яда""), а также устраняет все магические препятствия или ловушки. Игнорирует сопротивление магии и врожденные иммунитеты целей.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Волшебное зеркало	Волшебное зеркало	5	 	 	 	x	25	20	20	20	0	20	20	30	40	0	16	14	0	0	12	0	0	13	12	12	18	24	"{Волшебное зеркало}

Отражает вражеские заклинания от выбранного дружественного отряда на случайно выбранный вражеский отряд или боевую машину в 20% случаев.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Волшебное зеркало – ""Базовый"" уровень}

Отражает вражеские заклинания от выбранного дружественного отряда на случайно выбранный вражеский отряд или боевую машину в 20% случаев.

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 5 очков магии меньше (20 вместо 25), чем обычное ""Волшебное зеркало"".
"	"{Волшебное зеркало – ""Продвинутый"" уровень}

Отражает вражеские заклинания от выбранного дружественного отряда на случайно выбранный вражеский отряд или боевую машину в 30% случаев.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Волшебное зеркало – ""Экспертный"" уровень}

Отражает вражеские заклинания от выбранного дружественного отряда на случайно выбранный вражеский отряд или боевую машину в 40% случаев.

Время действия заклинания напрямую зависит от силы магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET
Лечение	Лечение	1	 	x	 	 	6	5	5	5	5	10	10	20	30	10	10	5	5	0	5	5	10	5	4	4	4	4	"{Лечение}

Снимает с выбранного дружественного отряда все негативные заклинания и эффекты, кроме ""Разрушающего луча"" и связывающих пут дендроидов, а также восстанавливает немного здоровья (включая отнятое ядом здоровье).

Количество восстанавливаемого здоровья:
""Сила магии"" х 5 + 10.
"	"{Лечение – ""Базовый"" уровень}

Снимает с выбранного дружественного отряда все негативные заклинания и эффекты, кроме ""Разрушающего луча"" и связывающих пут дендроидов, а также восстанавливает немного здоровья (включая отнятое ядом здоровье).

Количество восстанавливаемого здоровья:
""Сила магии"" х 5 + 10.

Заклинание стоит на 1 очко магии меньше (5 вместо 6), чем обычное ""Лечение"".
"	"{Лечение – ""Продвинутый"" уровень}

Снимает с выбранного дружественного отряда все негативные заклинания и эффекты, кроме ""Разрушающего луча"" и связывающих пут дендроидов, а также восстанавливает немного здоровья (включая отнятое ядом здоровье).

Количество восстанавливаемого здоровья:
""Сила магии"" х 5 + 20.

Излечивает на 10 единиц здоровья больше, чем ""Лечение"" базового уровня.
"	"{Лечение – ""Экспертный"" уровень}

Снимает со всех дружественных отрядов все негативные заклинания и эффекты, кроме ""Разрушающего луча"" и связывающих пут дендроидов, а также восстанавливает немного здоровья (включая отнятое ядом здоровье).

Количество восстанавливаемого здоровья:
""Сила магии"" х 5 + 30.

Излечивает на 20 единиц здоровья больше, чем ""Лечение"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Воскрешение	Воскрешение	4	x	 	 	 	20	16	16	16	50	40	40	80	160	10	10	10	10	10	10	0	0	5	50	50	60	120	"{Воскрешение}

Воскрешает существ в выбранном отряде, увеличивая суммарное здоровья отряда на фиксированную величину. Воскрешает убитых существ только на время сражения. Не действует на нежить и бездушных существ.

Суммарное количество восстанавливаемого здоровья:
""Сила магии"" х 50 + 40.
"	"{Воскрешение – ""Базовый"" уровень}

Воскрешает существ в выбранном отряде, увеличивая суммарное здоровья отряда на фиксированную величину. Воскрешает убитых существ только на время сражения. Не действует на нежить и бездушных существ.

Суммарное количество восстанавливаемого здоровья:
""Сила магии"" х 50 + 40.

Заклинание стоит на 4 очка магии меньше (16 вместо 20), чем обычное ""Воскрешение"".
"	"{Воскрешение – ""Продвинутый"" уровень}

Воскрешает существ в выбранном отряде, увеличивая суммарное здоровья отряда на фиксированную величину. По окончанию боя воскрешенные существа остаются у героя. Не действует на нежить и бездушных существ.

Суммарное количество восстанавливаемого здоровья:
""Сила магии"" х 50 + 80.

Восстанавливает на 40 единиц здоровья больше, чем ""Воскрешение"" базового уровня.
"	"{Воскрешение – ""Экспертный"" уровень}

Воскрешает существ в выбранном отряде, увеличивая суммарное здоровья отряда на фиксированную величину. По окончанию боя воскрешенные существа остаются у героя. Не действует на нежить и бездушных существ.

Суммарное количество восстанавливаемого здоровья:
""Сила магии"" х 50 + 160.

Восстанавливает на 120 единиц здоровья больше, чем ""Воскрешение"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET
Оживление мертвецов	Оживление мертвецов	3	x	 	 	 	15	12	12	12	50	30	30	60	160	0	0	0	0	16	0	0	0	0	60	60	60	120	"{Оживление мертвецов}

Заново оживляет уничтоженную нежить в выбранном отряде, увеличивая суммарное здоровья отряда на фиксированную величину.

Суммарное количество восстанавливаемого здоровья:
""Сила магии"" х 50 + 30.
"	"{Оживление мертвецов – ""Базовый"" уровень}

Заново оживляет уничтоженную нежить в выбранном отряде, увеличивая суммарное здоровья отряда на фиксированную величину.

Суммарное количество восстанавливаемого здоровья:
""Сила магии"" х 50 + 30.

Заклинание стоит на 3 очка магии меньше (12 вместо 15), чем обычное ""Оживление мертвецов"".
"	"{Оживление мертвецов – ""Продвинутый"" уровень}

Заново оживляет уничтоженную нежить в выбранном отряде, увеличивая суммарное здоровья отряда на фиксированную величину.

Суммарное количество восстанавливаемого здоровья:
""Сила магии"" х 50 + 60.

Добавляет на 30 единиц здоровья больше, чем ""Оживление мертвецов"" базового уровня.
"	"{Оживление мертвецов – ""Экспертный"" уровень}

Заново оживляет уничтоженную нежить в выбранном отряде, увеличивая суммарное здоровья отряда на фиксированную величину.

Суммарное количество восстанавливаемого здоровья:
""Сила магии"" х 50 + 160.

Добавляет на 130 единиц здоровья больше, чем ""Оживление мертвецов"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET
Жертвоприношение	Жертвоприношение	5	 	 	x	 	25	20	20	20	1	3	3	6	10	0	0	0	20	16	12	0	0	0	1	1	1	1	"{Жертвоприношение}

Уничтожает отряд дружественных существ, чтобы оживить уничтоженный дружественный отряд. Количество воскрешенных существ зависит от силы магии героя и здоровья уничтоженного отряда. Не действует на нежить и бездушных существ.

Суммарное количество восстанавливаемого здоровья:
(""Сила магии"" + базовое здоровье жертвы + 3) x количество жертв.
"	"{Жертвоприношение – ""Базовый"" уровень}

Уничтожает отряд дружественных существ, чтобы оживить уничтоженный дружественный отряд. Количество воскрешенных существ зависит от силы магии героя и здоровья уничтоженного отряда. Не действует на нежить и бездушных существ.

Суммарное количество восстанавливаемого здоровья:
(""Сила магии"" + базовое здоровье жертвы + 3) x количество жертв.

Заклинание стоит на 5 очков магии меньше (20 вместо 25), чем обычное ""Жертвоприношение"".
"	"{Жертвоприношение – ""Продвинутый"" уровень}

Уничтожает отряд дружественных существ, чтобы оживить уничтоженный дружественный отряд. Количество воскрешенных существ зависит от силы магии героя и здоровья уничтоженного отряда. Не действует на нежить и бездушных существ.

Суммарное количество восстанавливаемого здоровья:
(""Сила магии"" + базовое здоровье жертвы + 6) x количество жертв.

Восстанавливает больше здоровья, чем ""Жертвоприношение"" базового уровня.
"	"{Жертвоприношение – ""Экспертный"" уровень}

Уничтожает отряд дружественных существ, чтобы оживить уничтоженный дружественный отряд. Количество воскрешенных существ зависит от силы магии героя и здоровья уничтоженного отряда. Не действует на нежить и бездушных существ.

Суммарное количество восстанавливаемого здоровья:
(""Сила магии"" + базовое здоровье жертвы + 10) x количество жертв.

Восстанавливает больше здоровья, чем ""Жертвоприношение"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET
Благословение	Благословение	1	 	x	 	 	5	4	4	4	0	0	0	1	1	10	5	5	0	0	3	3	5	5	10	10	11	11	"{Благословение}

Дает выбранному дружественному отряду силы для нанесения максимально возможного урона в бою (в расчет идет наивысшее значение урона для существ в отряде). Взаимозаменяемо с ""Проклятием"". Не действует на нежить.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Благословение – ""Базовый"" уровень}

Дает выбранному дружественному отряду силы для нанесения максимально возможного урона в бою (в расчет идет наивысшее значение урона для существ в отряде). Взаимозаменяемо с ""Проклятием"". Не действует на нежить.

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 1 очко магии меньше (4 вместо 5), чем обычное ""Благословение"".
"	"{Благословение – ""Продвинутый"" уровень}

Дает выбранному дружественному отряду силы для нанесения максимально возможного урона в бою (в расчет идет наивысшее значение урона +1 единица для существ в отряде). Взаимозаменяемо с ""Проклятием"". Не действует на нежить.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Благословение – ""Экспертный"" уровень}

Дает всем дружественным отрядам силы для нанесения максимально возможного урона в бою (в расчет идет наивысшее значение урона +1 единица для существ в каждом отряде). Взаимозаменяемо с ""Проклятием"". Не действует на нежить.

Время действия заклинания напрямую зависит от силы магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Проклятие	Проклятие	1	 		x	 	6	5	5	5	0	0	0	1	1	0	0	3	5	10	5	0	0	0	10	10	11	11	"{Проклятие}

Заставляет выбранный вражеский отряд наносить в бою минимально возможный урон (в расчет идет наименьшее значение урона для существ в отряде). Взаимозаменяемо с ""Благословением"". Не действует на нежить.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Проклятие – ""Базовый"" уровень}

Заставляет выбранный вражеский отряд наносить в бою минимально возможный урон (в расчет идет наименьшее значение урона для существ в отряде). Взаимозаменяемо с ""Благословением"". Не действует на нежить.

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 1 очко магии меньше (5 вместо 6), чем обычное ""Проклятие"".
"	"{Проклятие – ""Продвинутый"" уровень}

Заставляет выбранный вражеский отряд наносить в бою минимально возможный урон (в расчет идет 80% и -1 единица от наименьшего значения урона для существ в отряде, но не ниже 1). Взаимозаменяемо с ""Благословением"". Не действует на нежить.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Проклятие – ""Экспертный"" уровень}

Заставляет все вражеские отряды наносить в бою минимально возможный урон (в расчет идет 80% и -1 единица от наименьшего значения урона для существ в отряде, но не ниже 1). Взаимозаменяемо с ""Благословением"". Не действует на нежить.

Время действия заклинания напрямую зависит от силы магии героя.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Жажда крови	Жажда крови	1	 	 	x	 	5	4	4	4	0	3	3	6	6	0	0	0	10	5	5	10	5	5	7	7	15	15	"{Жажда крови}

Увеличивает атаку выбранного дружественного отряда в ближнем бою на 3 единицы.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Жажда крови – ""Базовый"" уровень}

Увеличивает атаку выбранного дружественного отряда в ближнем бою на 3 единицы.

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 1 очко магии меньше (4 вместо 5), чем обычная ""Жажда крови"".
"	"{Жажда крови – ""Продвинутый"" уровень}

Увеличивает атаку выбранного дружественного отряда в ближнем бою на 6 единиц.

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Жажды крови"" базового уровня.
"	"{Жажда крови – ""Экспертный"" уровень}

Увеличивает атаку всех дружественных отрядов в ближнем бою на 6 единиц.

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Жажды крови"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Точность	Точность	2	 	 	 	x	8	6	6	6	0	3	3	6	6	6	6	4	8	2	6	4	4	2	7	7	15	15	"{Точность}

Увеличивает атаку выбранного дружественного отряда при атаке на расстоянии на 3 единицы.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Точность – ""Базовый"" уровень}

Увеличивает атаку выбранного дружественного отряда при атаке на расстоянии на 3 единицы.

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 2 очка магии меньше (6 вместо 8), чем обычная ""Точность"".
"	"{Точность – ""Продвинутый"" уровень}

Увеличивает атаку выбранного дружественного отряда при атаке на расстоянии на 6 единиц.

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Точности"" базового уровня.
"	"{Точность – ""Экспертный"" уровень}

Увеличивает атаку всех дружественных отрядов при атаке на расстоянии на 6 единиц.

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Точности"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Слабость	Слабость	2	 	x	 	 	8	6	6	6	0	3	3	6	6	2	2	2	8	4	4	4	4	4	7	7	15	15	"{Слабость}

Уменьшает атаку выбранного вражеского отряда на 3 единицы (не ниже 0).

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Слабость – ""Базовый"" уровень}

Уменьшает атаку выбранного вражеского отряда на 3 единицы (не ниже 0).

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 2 очка магии меньше (6 вместо 8), чем обычная ""Слабость"".
"	"{Слабость – ""Продвинутый"" уровень}

Уменьшает атаку выбранного вражеского отряда на 6 единиц (не ниже 0).

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Слабости"" базового уровня.
"	"{Слабость – ""Экспертный"" уровень}

Уменьшает атаку всех вражеских отрядов на 6 единиц (не ниже 0).

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Слабости"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Каменная кожа	Каменная кожа	1	x	 	 	 	5	4	4	4	0	3	3	6	6	5	5	10	5	10	5	10	5	5	7	7	15	15	"{Каменная кожа}

Увеличивает защиту выбранного дружественного отряда на 3 единицы.

Время действия заклинания напрямую зависит от силы магии героя.
"	"{Каменная кожа – ""Базовый"" уровень}

Увеличивает защиту выбранного дружественного отряда на 3 единицы.

Время действия заклинания напрямую зависит от силы магии героя.

Заклинание стоит на 1 очко магии меньше (4 вместо 5), чем обычная ""Каменная кожа"".
"	"{Каменная кожа – ""Продвинутый"" уровень}

Увеличивает защиту выбранного дружественного отряда на 6 единиц.

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Каменной кожи"" базового уровня.
"	"{Каменная кожа – ""Экспертный"" уровень}

Увеличивает защиту всех дружественных отрядов на 6 единиц.

Время действия заклинания напрямую зависит от силы магии героя.

Эффект в два раза сильнее, чем от ""Каменной кожи"" базового уровня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
